week,idade,vacina,ordem,state,n
2022-01-22,5,Coronavac,3,RR,0
2022-01-22,5,Coronavac,3,RS,0
2022-01-22,5,Coronavac,3,SC,0
2022-01-22,5,Coronavac,3,SE,0
2022-01-22,5,Coronavac,3,SP,0
2022-01-22,5,Coronavac,3,TO,0
2022-01-22,5,Coronavac,4,AC,0
2022-01-22,5,Coronavac,4,AL,0
2022-01-22,5,Coronavac,4,AM,0
2022-01-22,5,Coronavac,4,AP,0
2022-01-22,5,Coronavac,4,BA,0
2022-01-22,5,Coronavac,4,CE,0
2022-01-22,5,Coronavac,4,DF,0
2022-01-22,5,Coronavac,4,ES,0
2022-01-22,5,Coronavac,4,GO,0
2022-01-22,5,Coronavac,4,MA,0
2022-01-22,5,Coronavac,4,MG,0
2022-01-22,5,Coronavac,4,MS,0
2022-01-22,5,Coronavac,4,MT,0
2022-01-22,5,Coronavac,4,PA,0
2022-01-22,5,Coronavac,4,PB,0
2022-01-22,5,Coronavac,4,PE,0
2022-01-22,5,Coronavac,4,PI,0
2022-01-22,5,Coronavac,4,PR,0
2022-01-22,5,Coronavac,4,RJ,0
2022-01-22,5,Coronavac,4,RN,0
2022-01-22,5,Coronavac,4,RO,0
2022-01-22,5,Coronavac,4,RS,0
2022-01-22,5,Coronavac,4,SC,0
2022-01-22,5,Coronavac,4,SE,0
2022-01-22,5,Coronavac,4,SP,0
2022-01-22,5,Coronavac,4,TO,0
2022-01-22,5,Coronavac,5,BA,0
2022-01-22,5,Coronavac,5,ES,0
2022-01-22,5,Coronavac,5,MG,0
2022-01-22,5,Coronavac,5,PA,0
2022-01-22,5,Coronavac,5,PB,0
2022-01-22,5,Coronavac,5,PR,0
2022-01-22,5,Coronavac,5,RJ,0
2022-01-22,5,Coronavac,5,RN,0
2022-01-22,5,Coronavac,5,RS,0
2022-01-22,5,Coronavac,5,SP,0
2022-01-22,5,Pfizer,1,AC,0
2022-01-22,5,Pfizer,1,AL,0
2022-01-22,5,Pfizer,1,AM,0
2022-01-22,5,Pfizer,1,AP,0
2022-01-22,5,Pfizer,1,BA,0
2022-01-22,5,Pfizer,1,CE,0
2022-01-22,5,Pfizer,1,DF,0
2022-01-22,5,Pfizer,1,ES,0
2022-01-22,5,Pfizer,1,GO,0
2022-01-22,5,Pfizer,1,MA,0
2022-01-22,5,Pfizer,1,MG,0
2022-01-22,5,Pfizer,1,MS,0
2022-01-22,5,Pfizer,1,MT,0
2022-01-22,5,Pfizer,1,PA,0
2022-01-22,5,Pfizer,1,PB,0
2022-01-22,5,Pfizer,1,PE,0
2022-01-22,5,Pfizer,1,PI,0
2022-01-22,5,Pfizer,1,PR,0
2022-01-22,5,Pfizer,1,RJ,0
2022-01-22,5,Pfizer,1,RN,0
2022-01-22,5,Pfizer,1,RO,0
2022-01-22,5,Pfizer,1,RR,0
2022-01-22,5,Pfizer,1,RS,0
2022-01-22,5,Pfizer,1,SC,0
2022-01-22,5,Pfizer,1,SE,0
2022-01-22,5,Pfizer,1,SP,0
2022-01-22,5,Pfizer,1,TO,0
2022-01-22,5,Pfizer,2,AC,0
2022-01-22,5,Pfizer,2,AL,0
2022-01-22,5,Pfizer,2,AM,0
2022-01-22,5,Pfizer,2,AP,0
2022-01-22,5,Pfizer,2,BA,0
2022-01-22,5,Pfizer,2,CE,0
2022-01-22,5,Pfizer,2,DF,0
2022-01-22,5,Pfizer,2,ES,0
2022-01-22,5,Pfizer,2,GO,0
2022-01-22,5,Pfizer,2,MA,0
2022-01-22,5,Pfizer,2,MG,0
2022-01-22,5,Pfizer,2,MS,0
2022-01-22,5,Pfizer,2,MT,0
2022-01-22,5,Pfizer,2,PA,0
2022-01-22,5,Pfizer,2,PB,0
2022-01-22,5,Pfizer,2,PE,0
2022-01-22,5,Pfizer,2,PI,0
2022-01-22,5,Pfizer,2,PR,0
2022-01-22,5,Pfizer,2,RJ,0
2022-01-22,5,Pfizer,2,RN,0
2022-01-22,5,Pfizer,2,RO,0
2022-01-22,5,Pfizer,2,RR,0
2022-01-22,5,Pfizer,2,RS,0
2022-01-22,5,Pfizer,2,SC,0
2022-01-22,5,Pfizer,2,SE,0
2022-01-22,5,Pfizer,2,SP,0
2022-01-22,5,Pfizer,2,TO,0
2022-01-22,5,Pfizer,3,AC,0
2022-01-22,5,Pfizer,3,AL,0
2022-01-22,5,Pfizer,3,AM,0
2022-01-22,5,Pfizer,3,AP,0
2022-01-22,5,Pfizer,3,BA,0
2022-01-22,5,Pfizer,3,CE,0
2022-01-22,5,Pfizer,3,DF,0
2022-01-22,5,Pfizer,3,ES,0
2022-01-22,5,Pfizer,3,GO,0
2022-01-22,5,Pfizer,3,MA,0
2022-01-22,5,Pfizer,3,MG,0
2022-01-22,5,Pfizer,3,MS,0
2022-01-22,5,Pfizer,3,MT,0
2022-01-22,5,Pfizer,3,PA,0
2022-01-22,5,Pfizer,3,PB,0
2022-01-22,5,Pfizer,3,PE,0
2022-01-22,5,Pfizer,3,PI,0
2022-01-22,5,Pfizer,3,PR,0
2022-01-22,5,Pfizer,3,RJ,0
2022-01-22,5,Pfizer,3,RN,0
2022-01-22,5,Pfizer,3,RO,0
2022-01-22,5,Pfizer,3,RR,0
2022-01-22,5,Pfizer,3,RS,0
2022-01-22,5,Pfizer,3,SC,0
2022-01-22,5,Pfizer,3,SE,0
2022-01-22,5,Pfizer,3,SP,0
2022-01-22,5,Pfizer,3,TO,0
2022-01-22,5,Pfizer,4,AC,0
2022-01-22,5,Pfizer,4,AL,0
2022-01-22,5,Pfizer,4,AM,0
2022-01-22,5,Pfizer,4,AP,0
2022-01-22,5,Pfizer,4,BA,0
2022-01-22,5,Pfizer,4,CE,0
2022-01-22,5,Pfizer,4,DF,0
2022-01-22,5,Pfizer,4,ES,0
2022-01-22,5,Pfizer,4,GO,0
2022-01-22,5,Pfizer,4,MA,0
2022-01-22,5,Pfizer,4,MG,0
2022-01-22,5,Pfizer,4,MS,0
2022-01-22,5,Pfizer,4,MT,0
2022-01-22,5,Pfizer,4,PA,0
2022-01-22,5,Pfizer,4,PB,0
2022-01-22,5,Pfizer,4,PE,0
2022-01-22,5,Pfizer,4,PI,0
2022-01-22,5,Pfizer,4,PR,0
2022-01-22,5,Pfizer,4,RJ,0
2022-01-22,5,Pfizer,4,RN,0
2022-01-22,5,Pfizer,4,RO,0
2022-01-22,5,Pfizer,4,RS,0
2022-01-22,5,Pfizer,4,SC,0
2022-01-22,5,Pfizer,4,SE,0
2022-01-22,5,Pfizer,4,SP,0
2022-01-22,5,Pfizer,4,TO,0
2022-01-22,5,Pfizer,5,BA,0
2022-01-22,5,Pfizer,5,ES,0
2022-01-22,5,Pfizer,5,MG,0
2022-01-22,5,Pfizer,5,PA,0
2022-01-22,5,Pfizer,5,PB,0
2022-01-22,5,Pfizer,5,PR,0
2022-01-22,5,Pfizer,5,RJ,0
2022-01-22,5,Pfizer,5,RN,0
2022-01-22,5,Pfizer,5,RS,0
2022-01-22,5,Pfizer,5,SP,0
2022-01-22,6,Coronavac,1,AC,1
2022-01-22,6,Coronavac,1,AL,0
2022-01-22,6,Coronavac,1,AM,1
2022-01-22,6,Coronavac,1,AP,0
2022-01-22,6,Coronavac,1,BA,371
2022-01-22,6,Coronavac,1,CE,6
2022-01-22,6,Coronavac,1,DF,186
2022-01-22,6,Coronavac,1,ES,8
2022-01-22,6,Coronavac,1,GO,6
2022-01-22,6,Coronavac,1,MA,3
2022-01-22,6,Coronavac,1,MG,7
2022-01-22,6,Coronavac,1,MS,207
2022-01-22,6,Coronavac,1,MT,2
2022-01-22,6,Coronavac,1,PA,15
2022-01-22,6,Coronavac,1,PB,2
2022-01-22,6,Coronavac,1,PE,7
2022-01-22,6,Coronavac,1,PI,1
2022-01-22,6,Coronavac,1,PR,2
2022-01-22,6,Coronavac,1,RJ,15
2022-01-22,6,Coronavac,1,RN,0
2022-01-22,6,Coronavac,1,RO,0
2022-01-22,6,Coronavac,1,RR,0
2022-01-22,6,Coronavac,1,RS,5
2022-01-22,6,Coronavac,1,SC,1
2022-01-22,6,Coronavac,1,SE,4
2022-01-22,6,Coronavac,1,SP,12838
2022-01-22,6,Coronavac,1,TO,0
2022-01-22,6,Coronavac,2,AC,2
2022-01-22,6,Coronavac,2,AL,0
2022-01-22,6,Coronavac,2,AM,0
2022-01-22,6,Coronavac,2,AP,0
2022-01-22,6,Coronavac,2,BA,287
2022-01-22,6,Coronavac,2,CE,3
2022-01-22,6,Coronavac,2,DF,188
2022-01-22,6,Coronavac,2,ES,7
2022-01-22,6,Coronavac,2,GO,1
2022-01-22,6,Coronavac,2,MA,1
2022-01-22,6,Coronavac,2,MG,5
2022-01-22,6,Coronavac,2,MS,163
2022-01-22,6,Coronavac,2,MT,2
2022-01-22,6,Coronavac,2,PA,11
2022-01-22,6,Coronavac,2,PB,8
2022-01-22,6,Coronavac,2,PE,4
2022-01-22,6,Coronavac,2,PI,5
2022-01-22,6,Coronavac,2,PR,1
2022-01-22,6,Coronavac,2,RJ,11
2022-01-22,6,Coronavac,2,RN,2
2022-01-22,6,Coronavac,2,RO,0
2022-01-22,6,Coronavac,2,RR,1
2022-01-22,6,Coronavac,2,RS,4
2022-01-22,6,Coronavac,2,SC,0
2022-01-22,6,Coronavac,2,SE,3
2022-01-22,6,Coronavac,2,SP,196
2022-01-22,6,Coronavac,2,TO,1
2022-01-22,6,Coronavac,3,AC,0
2022-01-22,6,Coronavac,3,AL,0
2022-01-22,6,Coronavac,3,AM,0
2022-01-22,6,Coronavac,3,AP,0
2022-01-22,6,Coronavac,3,BA,0
2022-01-22,6,Coronavac,3,CE,0
2022-01-22,6,Coronavac,3,DF,0
2022-01-22,6,Coronavac,3,ES,0
2022-01-22,6,Coronavac,3,GO,0
2022-01-22,6,Coronavac,3,MA,0
2022-01-22,6,Coronavac,3,MG,0
2022-01-22,6,Coronavac,3,MS,0
2022-01-22,6,Coronavac,3,MT,0
2022-01-22,6,Coronavac,3,PA,0
2022-01-22,6,Coronavac,3,PB,0
2022-01-22,6,Coronavac,3,PE,0
2022-01-22,6,Coronavac,3,PI,0
2022-01-22,6,Coronavac,3,PR,0
2022-01-22,6,Coronavac,3,RJ,0
2022-01-22,6,Coronavac,3,RN,0
2022-01-22,6,Coronavac,3,RO,0
2022-01-22,6,Coronavac,3,RR,0
2022-01-22,6,Coronavac,3,RS,0
2022-01-22,6,Coronavac,3,SC,0
2022-01-22,6,Coronavac,3,SE,0
2022-01-22,6,Coronavac,3,SP,0
2022-01-22,6,Coronavac,3,TO,0
2022-01-22,6,Coronavac,4,AC,0
2022-01-22,6,Coronavac,4,AL,0
2022-01-22,6,Coronavac,4,AM,0
2022-01-22,6,Coronavac,4,AP,0
2022-01-22,6,Coronavac,4,BA,0
2022-01-22,6,Coronavac,4,CE,0
2022-01-22,6,Coronavac,4,DF,0
2022-01-22,6,Coronavac,4,ES,0
2022-01-22,6,Coronavac,4,GO,0
2022-01-22,6,Coronavac,4,MA,0
2022-01-22,6,Coronavac,4,MG,0
2022-01-22,6,Coronavac,4,MS,0
2022-01-22,6,Coronavac,4,MT,0
2022-01-22,6,Coronavac,4,PA,0
2022-01-22,6,Coronavac,4,PB,0
2022-01-22,6,Coronavac,4,PE,0
2022-01-22,6,Coronavac,4,PI,0
2022-01-22,6,Coronavac,4,PR,0
2022-01-22,6,Coronavac,4,RJ,0
2022-01-22,6,Coronavac,4,RN,0
2022-01-22,6,Coronavac,4,RO,0
2022-01-22,6,Coronavac,4,RS,0
2022-01-22,6,Coronavac,4,SC,0
2022-01-22,6,Coronavac,4,SE,0
2022-01-22,6,Coronavac,4,SP,0
2022-01-22,6,Coronavac,4,TO,0
2022-01-22,6,Coronavac,5,BA,0
2022-01-22,6,Coronavac,5,ES,0
2022-01-22,6,Coronavac,5,MG,0
2022-01-22,6,Coronavac,5,PA,0
2022-01-22,6,Coronavac,5,PB,0
2022-01-22,6,Coronavac,5,PR,0
2022-01-22,6,Coronavac,5,RJ,0
2022-01-22,6,Coronavac,5,RN,0
2022-01-22,6,Coronavac,5,RS,0
2022-01-22,6,Coronavac,5,SP,0
2022-01-22,6,Pfizer,1,AC,127
2022-01-22,6,Pfizer,1,AL,183
2022-01-22,6,Pfizer,1,AM,226
2022-01-22,6,Pfizer,1,AP,104
2022-01-22,6,Pfizer,1,BA,841
2022-01-22,6,Pfizer,1,CE,270
2022-01-22,6,Pfizer,1,DF,154
2022-01-22,6,Pfizer,1,ES,256
2022-01-22,6,Pfizer,1,GO,309
2022-01-22,6,Pfizer,1,MA,731
2022-01-22,6,Pfizer,1,MG,1591
2022-01-22,6,Pfizer,1,MS,1045
2022-01-22,6,Pfizer,1,MT,177
2022-01-22,6,Pfizer,1,PA,944
2022-01-22,6,Pfizer,1,PB,554
2022-01-22,6,Pfizer,1,PE,926
2022-01-22,6,Pfizer,1,PI,268
2022-01-22,6,Pfizer,1,PR,1091
2022-01-22,6,Pfizer,1,RJ,1091
2022-01-22,6,Pfizer,1,RN,951
2022-01-22,6,Pfizer,1,RO,154
2022-01-22,6,Pfizer,1,RR,13
2022-01-22,6,Pfizer,1,RS,995
2022-01-22,6,Pfizer,1,SC,807
2022-01-22,6,Pfizer,1,SE,322
2022-01-22,6,Pfizer,1,SP,9183
2022-01-22,6,Pfizer,1,TO,56
2022-01-22,6,Pfizer,2,AC,72
2022-01-22,6,Pfizer,2,AL,110
2022-01-22,6,Pfizer,2,AM,131
2022-01-22,6,Pfizer,2,AP,61
2022-01-22,6,Pfizer,2,BA,536
2022-01-22,6,Pfizer,2,CE,194
2022-01-22,6,Pfizer,2,DF,92
2022-01-22,6,Pfizer,2,ES,159
2022-01-22,6,Pfizer,2,GO,251
2022-01-22,6,Pfizer,2,MA,406
2022-01-22,6,Pfizer,2,MG,1061
2022-01-22,6,Pfizer,2,MS,465
2022-01-22,6,Pfizer,2,MT,117
2022-01-22,6,Pfizer,2,PA,477
2022-01-22,6,Pfizer,2,PB,349
2022-01-22,6,Pfizer,2,PE,677
2022-01-22,6,Pfizer,2,PI,200
2022-01-22,6,Pfizer,2,PR,774
2022-01-22,6,Pfizer,2,RJ,669
2022-01-22,6,Pfizer,2,RN,637
2022-01-22,6,Pfizer,2,RO,82
2022-01-22,6,Pfizer,2,RR,13
2022-01-22,6,Pfizer,2,RS,782
2022-01-22,6,Pfizer,2,SC,534
2022-01-22,6,Pfizer,2,SE,181
2022-01-22,6,Pfizer,2,SP,105
2022-01-22,6,Pfizer,2,TO,26
2022-01-22,6,Pfizer,3,AC,0
2022-01-22,6,Pfizer,3,AL,0
2022-01-22,6,Pfizer,3,AM,0
2022-01-22,6,Pfizer,3,AP,0
2022-01-22,6,Pfizer,3,BA,2
2022-01-22,6,Pfizer,3,CE,1
2022-01-22,6,Pfizer,3,DF,0
2022-01-22,6,Pfizer,3,ES,0
2022-01-22,6,Pfizer,3,GO,0
2022-01-22,6,Pfizer,3,MA,0
2022-01-22,6,Pfizer,3,MG,4
2022-01-22,6,Pfizer,3,MS,1
2022-01-22,6,Pfizer,3,MT,1
2022-01-22,6,Pfizer,3,PA,1
2022-01-22,6,Pfizer,3,PB,1
2022-01-22,6,Pfizer,3,PE,2
2022-01-22,6,Pfizer,3,PI,8
2022-01-22,6,Pfizer,3,PR,4
2022-01-22,6,Pfizer,3,RJ,18
2022-01-22,6,Pfizer,3,RN,3
2022-01-22,6,Pfizer,3,RO,1
2022-01-22,6,Pfizer,3,RR,0
2022-01-22,6,Pfizer,3,RS,1
2022-01-22,6,Pfizer,3,SC,1
2022-01-22,6,Pfizer,3,SE,1
2022-01-22,6,Pfizer,3,SP,1
2022-01-22,6,Pfizer,3,TO,0
2022-01-22,6,Pfizer,4,AC,0
2022-01-22,6,Pfizer,4,AL,0
2022-01-22,6,Pfizer,4,AM,0
2022-01-22,6,Pfizer,4,AP,0
2022-01-22,6,Pfizer,4,BA,0
2022-01-22,6,Pfizer,4,CE,0
2022-01-22,6,Pfizer,4,DF,0
2022-01-22,6,Pfizer,4,ES,0
2022-01-22,6,Pfizer,4,GO,0
2022-01-22,6,Pfizer,4,MA,0
2022-01-22,6,Pfizer,4,MG,0
2022-01-22,6,Pfizer,4,MS,0
2022-01-22,6,Pfizer,4,MT,0
2022-01-22,6,Pfizer,4,PA,0
2022-01-22,6,Pfizer,4,PB,0
2022-01-22,6,Pfizer,4,PE,0
2022-01-22,6,Pfizer,4,PI,0
2022-01-22,6,Pfizer,4,PR,0
2022-01-22,6,Pfizer,4,RJ,1
2022-01-22,6,Pfizer,4,RN,0
2022-01-22,6,Pfizer,4,RO,0
2022-01-22,6,Pfizer,4,RS,0
2022-01-22,6,Pfizer,4,SC,0
2022-01-22,6,Pfizer,4,SE,0
2022-01-22,6,Pfizer,4,SP,0
2022-01-22,6,Pfizer,4,TO,0
2022-01-22,6,Pfizer,5,BA,0
2022-01-22,6,Pfizer,5,ES,0
2022-01-22,6,Pfizer,5,MG,0
2022-01-22,6,Pfizer,5,PA,0
2022-01-22,6,Pfizer,5,PB,0
2022-01-22,6,Pfizer,5,PR,0
2022-01-22,6,Pfizer,5,RJ,0
2022-01-22,6,Pfizer,5,RN,0
2022-01-22,6,Pfizer,5,RS,0
2022-01-22,6,Pfizer,5,SP,0
2022-01-22,7,Coronavac,1,AC,0
2022-01-22,7,Coronavac,1,AL,0
2022-01-22,7,Coronavac,1,AM,3
2022-01-22,7,Coronavac,1,AP,0
2022-01-22,7,Coronavac,1,BA,630
2022-01-22,7,Coronavac,1,CE,6
2022-01-22,7,Coronavac,1,DF,219
2022-01-22,7,Coronavac,1,ES,8
2022-01-22,7,Coronavac,1,GO,3
2022-01-22,7,Coronavac,1,MA,6
2022-01-22,7,Coronavac,1,MG,7
2022-01-22,7,Coronavac,1,MS,150
2022-01-22,7,Coronavac,1,MT,0
2022-01-22,7,Coronavac,1,PA,12
2022-01-22,7,Coronavac,1,PB,6
2022-01-22,7,Coronavac,1,PE,6
2022-01-22,7,Coronavac,1,PI,7
2022-01-22,7,Coronavac,1,PR,0
2022-01-22,7,Coronavac,1,RJ,11
2022-01-22,7,Coronavac,1,RN,1
2022-01-22,7,Coronavac,1,RO,0
2022-01-22,7,Coronavac,1,RR,0
2022-01-22,7,Coronavac,1,RS,5
2022-01-22,7,Coronavac,1,SC,1
2022-01-22,7,Coronavac,1,SE,7
2022-01-22,7,Coronavac,1,SP,13962
2022-01-22,7,Coronavac,1,TO,0
2022-01-22,7,Coronavac,2,AC,3
2022-01-22,7,Coronavac,2,AL,1
2022-01-22,7,Coronavac,2,AM,2
2022-01-22,7,Coronavac,2,AP,0
2022-01-22,7,Coronavac,2,BA,497
2022-01-22,7,Coronavac,2,CE,6
2022-01-22,7,Coronavac,2,DF,189
2022-01-22,7,Coronavac,2,ES,11
2022-01-22,7,Coronavac,2,GO,4
2022-01-22,7,Coronavac,2,MA,5
2022-01-22,7,Coronavac,2,MG,2
2022-01-22,7,Coronavac,2,MS,109
2022-01-22,7,Coronavac,2,MT,0
2022-01-22,7,Coronavac,2,PA,9
2022-01-22,7,Coronavac,2,PB,1
2022-01-22,7,Coronavac,2,PE,2
2022-01-22,7,Coronavac,2,PI,8
2022-01-22,7,Coronavac,2,PR,1
2022-01-22,7,Coronavac,2,RJ,5
2022-01-22,7,Coronavac,2,RN,0
2022-01-22,7,Coronavac,2,RO,0
2022-01-22,7,Coronavac,2,RR,0
2022-01-22,7,Coronavac,2,RS,1
2022-01-22,7,Coronavac,2,SC,0
2022-01-22,7,Coronavac,2,SE,2
2022-01-22,7,Coronavac,2,SP,213
2022-01-22,7,Coronavac,2,TO,0
2022-01-22,7,Coronavac,3,AC,0
2022-01-22,7,Coronavac,3,AL,0
2022-01-22,7,Coronavac,3,AM,0
2022-01-22,7,Coronavac,3,AP,0
2022-01-22,7,Coronavac,3,BA,1
2022-01-22,7,Coronavac,3,CE,0
2022-01-22,7,Coronavac,3,DF,1
2022-01-22,7,Coronavac,3,ES,0
2022-01-22,7,Coronavac,3,GO,0
2022-01-22,7,Coronavac,3,MA,0
2022-01-22,7,Coronavac,3,MG,0
2022-01-22,7,Coronavac,3,MS,0
2022-01-22,7,Coronavac,3,MT,0
2022-01-22,7,Coronavac,3,PA,0
2022-01-22,7,Coronavac,3,PB,0
2022-01-22,7,Coronavac,3,PE,0
2022-01-22,7,Coronavac,3,PI,0
2022-01-22,7,Coronavac,3,PR,0
2022-01-22,7,Coronavac,3,RJ,1
2022-01-22,7,Coronavac,3,RN,0
2022-01-22,7,Coronavac,3,RO,0
2022-01-22,7,Coronavac,3,RR,0
2022-01-22,7,Coronavac,3,RS,0
2022-01-22,7,Coronavac,3,SC,0
2022-01-22,7,Coronavac,3,SE,0
2022-01-22,7,Coronavac,3,SP,0
2022-01-22,7,Coronavac,3,TO,0
2022-01-22,7,Coronavac,4,AC,0
2022-01-22,7,Coronavac,4,AL,0
2022-01-22,7,Coronavac,4,AM,0
2022-01-22,7,Coronavac,4,AP,0
2022-01-22,7,Coronavac,4,BA,0
2022-01-22,7,Coronavac,4,CE,0
2022-01-22,7,Coronavac,4,DF,0
2022-01-22,7,Coronavac,4,ES,0
2022-01-22,7,Coronavac,4,GO,0
2022-01-22,7,Coronavac,4,MA,0
2022-01-22,7,Coronavac,4,MG,0
2022-01-22,7,Coronavac,4,MS,0
2022-01-22,7,Coronavac,4,MT,0
2022-01-22,7,Coronavac,4,PA,0
2022-01-22,7,Coronavac,4,PB,0
2022-01-22,7,Coronavac,4,PE,0
2022-01-22,7,Coronavac,4,PI,0
2022-01-22,7,Coronavac,4,PR,0
2022-01-22,7,Coronavac,4,RJ,0
2022-01-22,7,Coronavac,4,RN,0
2022-01-22,7,Coronavac,4,RO,0
2022-01-22,7,Coronavac,4,RS,0
2022-01-22,7,Coronavac,4,SC,0
2022-01-22,7,Coronavac,4,SE,0
2022-01-22,7,Coronavac,4,SP,0
2022-01-22,7,Coronavac,4,TO,0
2022-01-22,7,Coronavac,5,BA,0
2022-01-22,7,Coronavac,5,ES,0
2022-01-22,7,Coronavac,5,MG,0
2022-01-22,7,Coronavac,5,PA,0
2022-01-22,7,Coronavac,5,PB,0
2022-01-22,7,Coronavac,5,PR,0
2022-01-22,7,Coronavac,5,RJ,0
2022-01-22,7,Coronavac,5,RN,0
2022-01-22,7,Coronavac,5,RS,0
2022-01-22,7,Coronavac,5,SP,0
2022-01-22,7,Pfizer,1,AC,174
2022-01-22,7,Pfizer,1,AL,227
2022-01-22,7,Pfizer,1,AM,254
2022-01-22,7,Pfizer,1,AP,92
2022-01-22,7,Pfizer,1,BA,1043
2022-01-22,7,Pfizer,1,CE,288
2022-01-22,7,Pfizer,1,DF,176
2022-01-22,7,Pfizer,1,ES,297
2022-01-22,7,Pfizer,1,GO,375
2022-01-22,7,Pfizer,1,MA,813
2022-01-22,7,Pfizer,1,MG,1675
2022-01-22,7,Pfizer,1,MS,1552
2022-01-22,7,Pfizer,1,MT,200
2022-01-22,7,Pfizer,1,PA,1005
2022-01-22,7,Pfizer,1,PB,559
2022-01-22,7,Pfizer,1,PE,895
2022-01-22,7,Pfizer,1,PI,292
2022-01-22,7,Pfizer,1,PR,1090
2022-01-22,7,Pfizer,1,RJ,1162
2022-01-22,7,Pfizer,1,RN,945
2022-01-22,7,Pfizer,1,RO,194
2022-01-22,7,Pfizer,1,RR,9
2022-01-22,7,Pfizer,1,RS,1135
2022-01-22,7,Pfizer,1,SC,1247
2022-01-22,7,Pfizer,1,SE,370
2022-01-22,7,Pfizer,1,SP,9732
2022-01-22,7,Pfizer,1,TO,74
2022-01-22,7,Pfizer,2,AC,65
2022-01-22,7,Pfizer,2,AL,148
2022-01-22,7,Pfizer,2,AM,160
2022-01-22,7,Pfizer,2,AP,53
2022-01-22,7,Pfizer,2,BA,651
2022-01-22,7,Pfizer,2,CE,231
2022-01-22,7,Pfizer,2,DF,123
2022-01-22,7,Pfizer,2,ES,192
2022-01-22,7,Pfizer,2,GO,300
2022-01-22,7,Pfizer,2,MA,432
2022-01-22,7,Pfizer,2,MG,1172
2022-01-22,7,Pfizer,2,MS,713
2022-01-22,7,Pfizer,2,MT,137
2022-01-22,7,Pfizer,2,PA,581
2022-01-22,7,Pfizer,2,PB,392
2022-01-22,7,Pfizer,2,PE,615
2022-01-22,7,Pfizer,2,PI,203
2022-01-22,7,Pfizer,2,PR,932
2022-01-22,7,Pfizer,2,RJ,747
2022-01-22,7,Pfizer,2,RN,689
